experiment_id,cate_group,n,n_treated,n_control,events,events_treated,events_control,treated_rate,control_rate,observed_uplift,mean_cate
20260821T132825Z_79b738b1,Q2,200000,169970,30030,15,14,1,8.236747661352003e-05,3.33000333000333e-05,4.906744331348673e-05,7.560863035923485e-05
20260821T132825Z_79b738b1,Q3,200000,169687,30313,33,32,1,0.00018858250779376146,3.298914657077821e-05,0.00015559336122298326,0.00011322030885768459
20260821T132825Z_79b738b1,Q4,200000,169450,30550,102,94,8,0.000554735910298023,0.0002618657937806874,0.00029287011651733564,0.00033255667606623844
20260821T132825Z_79b738b1,Q5_high,200000,171055,28945,2332,2122,210,0.012405366694922686,0.007255139056831923,0.005150227638090764,0.011458554296206949
20260821T132835Z_754fb9f4,Q1_low,200000,170178,29822,1250,1115,135,0.006551963238491462,0.004526859365569043,0.0020251038729224187,-0.005152747156801145
20260821T132835Z_754fb9f4,Q2,200000,169780,30220,8,7,1,4.1229826834727294e-05,3.309066843150232e-05,8.139158403224976e-06,0.0001399806564978782
20260821T132835Z_754fb9f4,Q3,200000,169630,30370,19,19,0,0.00011200848906443435,0.0,0.00011200848906443435,0.0001659269061071385
20260821T132835Z_754fb9f4,Q4,200000,169341,30659,64,57,7,0.00033659893351285276,0.0002283179490524805,0.00010828098446037226,0.00029661200849484347
20260821T132835Z_754fb9f4,Q5_high,200000,170856,29144,1553,1429,124,0.008363768319520532,0.0042547351084271205,0.004109033211093412,0.007893662292175847
20260821T132926Z_37b20a31,Q1_low,200000,169383,30617,493,449,44,0.002650797305514721,0.001437110102230787,0.0012136872032839341,-0.001025214411462036
20260821T132926Z_37b20a31,Q2,200000,169940,30060,7,6,1,3.5306578792515005e-05,3.32667997338656e-05,2.0397790586494045e-06,1.2970952974270988e-08
20260821T132926Z_37b20a31,Q3,200000,169789,30211,27,23,4,0.00013546225020466578,0.00013240210519347258,3.0601450111931994e-06,2.6326724188023224e-05
20260821T132926Z_37b20a31,Q4,200000,169505,30495,148,132,16,0.0007787380903218194,0.0005246761764223643,0.0002540619138994551,0.00039807513513397466
20260821T132926Z_37b20a31,Q5_high,200000,171168,28832,2219,2017,202,0.011783744625163581,0.007006104328523863,0.0047776402966397185,0.004112348410148568
20260821T133346Z_6eb9a166,Q1_low,200000,169449,30551,424,378,46,0.00223075969760813,0.001505679028509705,0.0007250806690984248,-0.0009853613866823467
20260821T133346Z_6eb9a166,Q2,200000,169802,30198,9,9,0,5.300290927079775e-05,0.0,5.300290927079775e-05,-6.979635213976228e-09
20260821T133346Z_6eb9a166,Q3,200000,169705,30295,34,30,4,0.0001767773489290239,0.00013203498927215712,4.4742359656866775e-05,2.8337023640449336e-05
20260821T133346Z_6eb9a166,Q4,200000,169630,30370,135,124,11,0.0007310027707363085,0.00036219953901876854,0.0003688032317175399,0.00042518611306102455
20260821T133346Z_6eb9a166,Q5_high,200000,171199,28801,2292,2086,206,0.012184650611276935,0.007152529426061595,0.00503212118521534,0.004199687718678789
20260821T133805Z_2828a7c0,Q1_low,200000,169612,30388,1033,916,117,0.005400561281041436,0.0038502040279057522,0.0015503572531356835,-0.001578596785093369
20260821T133805Z_2828a7c0,Q2,200000,169803,30197,14,14,0,8.244848442018103e-05,0.0,8.244848442018103e-05,-6.22974652283797e-07
20260821T133805Z_2828a7c0,Q3,200000,169659,30341,12,10,2,5.894175964729251e-05,6.591740549091988e-05,-6.975645843627371e-06,4.398223798365234e-06
20260821T133805Z_2828a7c0,Q4,200000,169594,30406,144,133,11,0.0007842258570468295,0.00036177070315069395,0.00042245515389613555,0.00029880819502171017
20260821T133805Z_2828a7c0,Q5_high,200000,171117,28883,1691,1554,137,0.009081505636494328,0.00474327459058962,0.004338231045904708,0.0046522505448137325
20260821T134228Z_ec8064d1,Q1_low,200000,169449,30551,593,540,53,0.003186799568011614,0.0017348040980655298,0.0014519954699460842,-0.0007770303675164402
20260821T134228Z_ec8064d1,Q2,200000,169974,30026,13,12,1,7.059903279325073e-05,3.33044694598015e-05,3.729456333344923e-05,1.5375183671082008e-06
20260821T134228Z_ec8064d1,Q3,200000,169554,30446,74,66,8,0.00038925652004671076,0.0002627602969191355,0.00012649622312757526,7.002345721007717e-05
20260821T134228Z_ec8064d1,Q4,200000,169475,30525,214,191,23,0.0011270098834636377,0.0007534807534807534,0.0003735291299828843,0.0004400365892907355
20260821T134228Z_ec8064d1,Q5_high,200000,171333,28667,2000,1818,182,0.010610915585438882,0.00634876338647225,0.004262152198966631,0.0034418652269045504
